"filename", "language", "JSON", "JavaScript", "Diff", "JSON with Comments", "Markdown", "Python", "JavaScript React", "HTML", "CSS", "PHP", "C++", "C", "Java", "comment", "blank", "total"
"d:\Coding\cn404\cn404_code\backend\config\config.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Coding\cn404\cn404_code\backend\config\database.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 16
"d:\Coding\cn404\cn404_code\backend\config\passport.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 81
"d:\Coding\cn404\cn404_code\backend\controllers\answerController.js", "JavaScript", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 41, 317
"d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\c\c_3_523.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 10
"d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\cpp\cpp_3_524.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\javascript\node_1_485.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 33
"d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\php\php_1_518.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\python\python_1_486.py", "Python", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 3, 14
"d:\Coding\cn404\cn404_code\backend\controllers\courseController.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 12, 128
"d:\Coding\cn404\cn404_code\backend\controllers\enrollmentController.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 78
"d:\Coding\cn404\cn404_code\backend\controllers\questionController.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 117
"d:\Coding\cn404\cn404_code\backend\controllers\quizController.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 101
"d:\Coding\cn404\cn404_code\backend\controllers\userController.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 120
"d:\Coding\cn404\cn404_code\backend\middleware\authMiddleware.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\Coding\cn404\cn404_code\backend\middleware\errorMiddleware.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Coding\cn404\cn404_code\backend\models\Answer.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Coding\cn404\cn404_code\backend\models\Course.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\Coding\cn404\cn404_code\backend\models\Enrollment.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\Coding\cn404\cn404_code\backend\models\Question.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"d:\Coding\cn404\cn404_code\backend\models\Quiz.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"d:\Coding\cn404\cn404_code\backend\models\Sentquiz.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\Coding\cn404\cn404_code\backend\models\Student.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"d:\Coding\cn404\cn404_code\backend\models\Teacher.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"d:\Coding\cn404\cn404_code\backend\models\index.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"d:\Coding\cn404\cn404_code\backend\routes\answerRoutes.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 41
"d:\Coding\cn404\cn404_code\backend\routes\courseRoutes.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\Coding\cn404\cn404_code\backend\routes\enrollmentRoutes.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\Coding\cn404\cn404_code\backend\routes\questionRoutes.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 33
"d:\Coding\cn404\cn404_code\backend\routes\quizRoutes.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 37
"d:\Coding\cn404\cn404_code\backend\routes\userRoutes.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"d:\Coding\cn404\cn404_code\backend\server-mongo.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 98
"d:\Coding\cn404\cn404_code\backend\server.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 82
"d:\Coding\cn404\cn404_code\backend\test.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 96
"d:\Coding\cn404\cn404_code\backend\test1.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 31
