Date : 2022-09-17 22:36:29
Directory : d:\Coding\cn404\cn404_code
Total : 109 files,  45922 codes, 423 comments, 971 blanks, all 47316 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     39,289 |          0 |          6 |     39,295 |
| JavaScript React   |         24 |      3,137 |        108 |        344 |      3,589 |
| JavaScript         |         52 |      2,712 |        236 |        436 |      3,384 |
| CSS                |         13 |        588 |         42 |        127 |        757 |
| Markdown           |          1 |         79 |          0 |         31 |        110 |
| HTML               |          1 |         26 |         29 |          1 |         56 |
| PHP                |          2 |         22 |          0 |          5 |         27 |
| Diff               |          1 |         21 |          0 |          2 |         23 |
| Python             |          3 |         15 |          8 |          6 |         29 |
| C++                |          2 |         12 |          0 |          4 |         16 |
| C                  |          2 |         10 |          0 |          8 |         18 |
| JSON with Comments |          1 |          6 |          0 |          1 |          7 |
| Java               |          1 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        109 |     45,922 |        423 |        971 |     47,316 |
| backend                                                                              |         40 |      1,593 |        183 |        299 |      2,075 |
| backend\config                                                                       |          3 |         98 |          8 |         16 |        122 |
| backend\controllers                                                                  |         11 |        701 |        121 |        118 |        940 |
| backend\controllers\compileFiles                                                     |          5 |         55 |          7 |         17 |         79 |
| backend\controllers\compileFiles\c                                                   |          1 |          5 |          0 |          5 |         10 |
| backend\controllers\compileFiles\cpp                                                 |          1 |          6 |          0 |          3 |          9 |
| backend\controllers\compileFiles\javascript                                          |          1 |         26 |          3 |          4 |         33 |
| backend\controllers\compileFiles\php                                                 |          1 |         11 |          0 |          2 |         13 |
| backend\controllers\compileFiles\python                                              |          1 |          7 |          4 |          3 |         14 |
| backend\middleware                                                                   |          2 |         49 |          0 |          9 |         58 |
| backend\models                                                                       |          9 |        275 |          0 |         30 |        305 |
| backend\routes                                                                       |          6 |        134 |         14 |         46 |        194 |
| backend\utils                                                                        |          5 |        105 |         12 |         32 |        149 |
| backend\utils\python                                                                 |          5 |        105 |         12 |         32 |        149 |
| frontend                                                                             |         59 |     39,024 |        196 |        643 |     39,863 |
| frontend\public                                                                      |          2 |         51 |         29 |          2 |         82 |
| frontend\src                                                                         |         52 |      4,828 |        167 |        604 |      5,599 |
| frontend\src\app                                                                     |          1 |         17 |          0 |          2 |         19 |
| frontend\src\components                                                              |          3 |        247 |         26 |         37 |        310 |
| frontend\src\features                                                                |         12 |      1,018 |         15 |        124 |      1,157 |
| frontend\src\features\answer                                                         |          2 |        200 |          4 |         25 |        229 |
| frontend\src\features\auth                                                           |          2 |        185 |          0 |         18 |        203 |
| frontend\src\features\course                                                         |          2 |        167 |          4 |         23 |        194 |
| frontend\src\features\enrollment                                                     |          2 |        104 |          0 |         13 |        117 |
| frontend\src\features\question                                                       |          2 |        165 |          3 |         19 |        187 |
| frontend\src\features\quiz                                                           |          2 |        197 |          4 |         26 |        227 |
| frontend\src\pages                                                                   |         32 |      3,345 |        119 |        420 |      3,884 |
| frontend\src\pages\answer                                                            |          3 |        251 |         18 |         41 |        310 |
| frontend\src\pages\course                                                            |          8 |        887 |         19 |        107 |      1,013 |
| frontend\src\pages\course\student                                                    |          3 |        177 |          1 |         25 |        203 |
| frontend\src\pages\dashboard                                                         |          5 |        634 |         32 |         68 |        734 |
| frontend\src\pages\login                                                             |          4 |        370 |          1 |         34 |        405 |
| frontend\src\pages\preview                                                           |          3 |        222 |          2 |         28 |        252 |
| frontend\src\pages\question                                                          |          4 |        702 |         35 |         82 |        819 |
| frontend\src\pages\quiz                                                              |          5 |        279 |         12 |         60 |        351 |
| frontend\src\pages\quiz\student                                                      |          2 |        110 |          6 |         25 |        141 |
| frontend\src\utils                                                                   |          1 |         52 |          2 |          2 |         56 |
| patches                                                                              |          1 |         21 |          0 |          2 |         23 |
| test                                                                                 |          7 |         99 |         44 |         25 |        168 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                             | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Coding\cn404\cn404_code\backend\config\config.json                                | JSON               |         24 |          0 |          1 |         25 |
| d:\Coding\cn404\cn404_code\backend\config\database.js                                | JavaScript         |          8 |          4 |          4 |         16 |
| d:\Coding\cn404\cn404_code\backend\config\passport.js                                | JavaScript         |         66 |          4 |         11 |         81 |
| d:\Coding\cn404\cn404_code\backend\controllers\answerController.js                   | JavaScript         |        211 |         65 |         41 |        317 |
| d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\c\c_3_523.c              | C                  |          5 |          0 |          5 |         10 |
| d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\cpp\cpp_3_524.cpp        | C++                |          6 |          0 |          3 |          9 |
| d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\javascript\node_1_485.js | JavaScript         |         26 |          3 |          4 |         33 |
| d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\php\php_1_518.php        | PHP                |         11 |          0 |          2 |         13 |
| d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\python\python_1_486.py   | Python             |          7 |          4 |          3 |         14 |
| d:\Coding\cn404\cn404_code\backend\controllers\courseController.js                   | JavaScript         |         96 |         20 |         12 |        128 |
| d:\Coding\cn404\cn404_code\backend\controllers\enrollmentController.js               | JavaScript         |         67 |          3 |          8 |         78 |
| d:\Coding\cn404\cn404_code\backend\controllers\questionController.js                 | JavaScript         |         96 |          9 |         12 |        117 |
| d:\Coding\cn404\cn404_code\backend\controllers\quizController.js                     | JavaScript         |         89 |          1 |         11 |        101 |
| d:\Coding\cn404\cn404_code\backend\controllers\userController.js                     | JavaScript         |         87 |         16 |         17 |        120 |
| d:\Coding\cn404\cn404_code\backend\middleware\authMiddleware.js                      | JavaScript         |         32 |          0 |          4 |         36 |
| d:\Coding\cn404\cn404_code\backend\middleware\errorMiddleware.js                     | JavaScript         |         17 |          0 |          5 |         22 |
| d:\Coding\cn404\cn404_code\backend\models\Answer.js                                  | JavaScript         |         22 |          0 |          3 |         25 |
| d:\Coding\cn404\cn404_code\backend\models\Course.js                                  | JavaScript         |         40 |          0 |          4 |         44 |
| d:\Coding\cn404\cn404_code\backend\models\Enrollment.js                              | JavaScript         |         19 |          0 |          2 |         21 |
| d:\Coding\cn404\cn404_code\backend\models\Question.js                                | JavaScript         |         31 |          0 |          3 |         34 |
| d:\Coding\cn404\cn404_code\backend\models\Quiz.js                                    | JavaScript         |         29 |          0 |          3 |         32 |
| d:\Coding\cn404\cn404_code\backend\models\Sentquiz.js                                | JavaScript         |         19 |          0 |          2 |         21 |
| d:\Coding\cn404\cn404_code\backend\models\Student.js                                 | JavaScript         |         43 |          0 |          3 |         46 |
| d:\Coding\cn404\cn404_code\backend\models\Teacher.js                                 | JavaScript         |         41 |          0 |          3 |         44 |
| d:\Coding\cn404\cn404_code\backend\models\index.js                                   | JavaScript         |         31 |          0 |          7 |         38 |
| d:\Coding\cn404\cn404_code\backend\routes\answerRoutes.js                            | JavaScript         |         30 |          3 |          8 |         41 |
| d:\Coding\cn404\cn404_code\backend\routes\courseRoutes.js                            | JavaScript         |         20 |          0 |          5 |         25 |
| d:\Coding\cn404\cn404_code\backend\routes\enrollmentRoutes.js                        | JavaScript         |         16 |          0 |          5 |         21 |
| d:\Coding\cn404\cn404_code\backend\routes\questionRoutes.js                          | JavaScript         |         18 |          5 |         10 |         33 |
| d:\Coding\cn404\cn404_code\backend\routes\quizRoutes.js                              | JavaScript         |         20 |          6 |         11 |         37 |
